Departure_ID,Departure_Code,Departure_Country,Departure_Year,Departure_Number,,,,,
120.00,LTU,Lithuania,2015.00,1720.00,,,,,
121.00,LUX,Luxembourg,2011.00,4020.00,,,,,
122.00,LUX,Luxembourg,2012.00,4108.00,,,,,
123.00,LUX,Luxembourg,2013.00,4228.00,,,,,
124.00,LUX,Luxembourg,2014.00,4292.00,,,,,
125.00,LUX,Luxembourg,2015.00,3981.00,,,,,
126.00,NZL,New Zealand,2011.00,,,,,,
127.00,NZL,New Zealand,2012.00,,,,,,
128.00,NZL,New Zealand,2013.00,,,,,,
129.00,NZL,New Zealand,2014.00,3543.00,,,,,
130.00,NZL,New Zealand,2015.00,2960.00,,,,,
210.00,PRY,Paraguay,2011.00,2475.00,,,,,
211.00,PRY,Paraguay,2012.00,3059.00,,,,,
212.00,PRY,Paraguay,2013.00,4037.00,,,,,
213.00,PRY,Paraguay,2014.00,4300.00,,,,,
214.00,PRY,Paraguay,2015.00,5269.00,,,,,
136.00,POL,Poland,2011.00,2475.00,,,,,
137.00,POL,Poland,2012.00,3059.00,,,,,
138.00,POL,Poland,2013.00,4037.00,,,,,
139.00,POL,Poland,2014.00,4300.00,,,,,
140.00,POL,Poland,2015.00,5269.00,,,,,
141.00,PRT,Portugal,2011.00,43270.00,,,,,
142.00,PRT,Portugal,2012.00,48290.00,,,,,
143.00,PRT,Portugal,2013.00,52580.00,,,,,
144.00,PRT,Portugal,2014.00,35400.00,,,,,
145.00,PRT,Portugal,2015.00,44300.00,,,,,
146.00,ROU,Romania,2011.00,11228.00,,,,,
147.00,ROU,Romania,2012.00,11548.00,,,,,
148.00,ROU,Romania,2013.00,,,,,,
149.00,ROU,Romania,2014.00,,,,,,
150.00,ROU,Romania,2015.00,,,,,,
215.00,SAU,Saudi Arabia,2011.00,15865.00,,,,,
216.00,SAU,Saudi Arabia,2012.00,20084.00,,,,,
217.00,SAU,Saudi Arabia,2013.00,22535.00,,,,,
218.00,SAU,Saudi Arabia,2014.00,22322.00,,,,,
219.00,SAU,Saudi Arabia,2015.00,25054.00,,,,,
161.00,ESP,Spain,2011.00,15944.00,,,,,
162.00,ESP,Spain,2012.00,14916.00,,,,,
163.00,ESP,Spain,2013.00,13434.00,,,,,
164.00,ESP,Spain,2014.00,13952.00,,,,,
165.00,ESP,Spain,2015.00,17625.00,,,,,
220.00,UKR,Ukraine,2011.00,20335.00,,,,,
221.00,UKR,Ukraine,2012.00,21755.00,,,,,
222.00,UKR,Ukraine,2013.00,23988.00,,,,,
223.00,UKR,Ukraine,2014.00,22637.00,,,,,
224.00,UKR,Ukraine,2015.00,23336.00,,,,,
225.00,GBR,United Kingdom,2011.00,56836.00,,,,,
226.00,GBR,United Kingdom,2012.00,56538.00,,,,,
227.00,GBR,United Kingdom,2013.00,57792.00,,,,,
228.00,GBR,United Kingdom,2014.00,60082.00,,,,,
229.00,GBR,United Kingdom,2015.00,65720.00,,,,,
